,sentence,language,set,gold_amr,parsed_amr,smatch
2819,Дай список детей Маргарет Тэтчер.,ru,train,"# ::snt Дай список детей Маргарет Тэтчер.
(l / list-01 :mode imperative
      :ARG0 (y / you)
      :ARG1 (p / person
            :ARG0-of (h / have-rel-role-91
                  :ARG1 (p2 / person :name (n / name :op1 ""Margaret"" :op2 ""Thatcher""))
                  :ARG2 (c / child))))","# ::snt Список детей Маргарет Тетчер.
(l / list-01 :mode imperative
      :ARG0 (y / you)
      :ARG1 (p / person
            :ARG0-of (h / have-rel-role-91
                  :ARG1 (p2 / person :name (n / name :op1 ""Margaret"" :op2 ""Thatcher""))
                  :ARG2 (c / child))))",0.1
2820,Перечислите детей Маргарет Тэтчер.,ru,train,"# ::snt Перечислите детей Маргарет Тэтчер.
(l / list-01 :mode imperative
      :ARG0 (y / you)
      :ARG1 (p / person
            :ARG0-of (h / have-rel-role-91
                  :ARG1 (p2 / person :name (n / name :op1 ""Margaret"" :op2 ""Thatcher""))
                  :ARG2 (c / child))))","# ::snt Дай список детей Маргарет Тэтчер.
(l / list-01 :mode imperative
      :ARG0 (y / you)
      :ARG1 (p / person
            :ARG0-of (h / have-rel-role-91
                  :ARG1 (p2 / person :name (n / name :op1 ""Margaret"" :op2 ""Thatcher""))
                  :ARG2 (c / child))))",0.1
2821,Перерахуйте дітей Маргарет Тетчер.,uk,train,"# ::snt Перерахуйте дітей Маргарет Тетчер.
(l / list-01 :mode imperative
      :ARG0 (y / you)
      :ARG1 (p / person
            :ARG0-of (h / have-rel-role-91
                  :ARG1 (p2 / person :name (n / name :op1 ""Margaret"" :op2 ""Thatcher""))
                  :ARG2 (c / child))))","# ::snt Перечислите детей Маргарет Тэтчер.
(l / list-01 :mode imperative
      :ARG0 (y / you)
      :ARG1 (p / person
            :ARG0-of (h / have-rel-role-91
                  :ARG1 (p2 / person :name (n / name :op1 ""Margaret"" :op2 ""Thatcher""))
                  :ARG2 (c / child))))",0.1
2822,Išvardykite Margaret Tečer vaikus,lt,train,"# ::snt Išvardykite Margaret Tečer vaikus
(l / list-01 :mode imperative
      :ARG0 (y / you)
      :ARG1 (p / person
            :ARG0-of (h / have-rel-role-91
                  :ARG1 (p2 / person :name (n / name :op1 ""Margaret"" :op2 ""Thatcher""))
                  :ARG2 (c / child))))","# ::snt Перерахуйте дітей Маргарет Тетчер.
(l / list-01 :mode imperative
      :ARG0 (y / you)
      :ARG1 (p / person
            :ARG0-of (h / have-rel-role-91
                  :ARG1 (p2 / person :name (n / name :op1 ""Margaret"" :op2 ""Thatcher""))
                  :ARG2 (c / child))))",0.26
2823,Пералiчыце дзяцей Маргарэт Тэтчэр.,be,train,"# ::snt Пералiчыце дзяцей Маргарэт Тэтчэр.
(l / list-01 :mode imperative
      :ARG0 (y / you)
      :ARG1 (p / person
            :ARG0-of (h / have-rel-role-91
                  :ARG1 (p2 / person :name (n / name :op1 ""Margaret"" :op2 ""Thatcher""))
                  :ARG2 (c / child))))","# ::snt Пералiчыце дзяцей Маргарэт Тэтчэр.
(l / list-01 :mode imperative
      :ARG0 (y / you)
      :ARG1 (p / person
            :ARG0-of (h / have-rel-role-91
                  :ARG1 (p2 / person :name (n / name :op1 ""Margaret"" :op2 ""Thatcher""))
                  :ARG2 (c / child))))",0.1
2824,From which region is the Melon de Bourgogne?,en,train,"# ::snt From which region is the Melon de Bourgogne?
(b / be-from-91
      :ARG1 (s / species :name (n2 / name :op1 ""Melon"" :op2 ""de"" :op3 ""Bourgogne""))
      :ARG2 (r / region
            :mod (a / amr-unknown)))","# ::snt From which region is the Melon de Bourgogne?
(b / be-from-91
      :ARG1 (s / species :name (n2 / name :op1 ""Melon"" :op2 ""de"" :op3 ""Bourgogne""))
      :ARG2 (r / region
            :mod (a / amr-unknown)))",0.48
2825,Меур де бокргогре виноград сорты ниндэй олкэнэн? ,ba,train,"# ::snt Меур де бокргогре виноград сорты ниндэй олкэнэн? 
(b / be-from-91
      :ARG1 (s / species :name (n2 / name :op1 ""Melon"" :op2 ""de"" :op3 ""Bourgogne""))
      :ARG2 (r / region
            :mod (a / amr-unknown)))","# ::snt Aus welcher Region stammt die Melon de Bourgogne?
(b / be-from-91
      :ARG1 (s / species :name (n2 / name :op1 ""Melon"" :op2 ""de"" :op3 ""Bourgogne""))
      :ARG2 (r / region
            :mod (a / amr-unknown)))",0.13
2826,Aus welcher Region stammt die Melon de Bourgogne?,de,train,"# ::snt Aus welcher Region stammt die Melon de Bourgogne?
(b / be-from-91
      :ARG1 (s / species :name (n2 / name :op1 ""Melon"" :op2 ""de"" :op3 ""Bourgogne""))
      :ARG2 (r / region
            :mod (a / amr-unknown)))","# ::snt Iš kokio regiono kilusi Melon de Bourgogne vynuogė?
(b / be-from-91
      :ARG1 (s / species :name (n2 / name :op1 ""Melon"" :op2 ""de"" :op3 ""Bourgogne""))
      :ARG2 (r / region
            :mod (a / amr-unknown)))",0.48
2827,Из какой области сорт виноград Melon de Bourgogne?,ru,train,"# ::snt Из какой области сорт виноград Melon de Bourgogne?
(b / be-from-91
      :ARG1 (s / species :name (n2 / name :op1 ""Melon"" :op2 ""de"" :op3 ""Bourgogne""))
      :ARG2 (r / region
            :mod (a / amr-unknown)))","# ::snt Iš kokios apskrities Melon de Bourgogne vynogių rūšis?
(b / be-from-91
      :ARG1 (s / species :name (n2 / name :op1 ""Melon"" :op2 ""de"" :op3 ""Bourgogne""))
      :ARG2 (r / region
            :mod (a / amr-unknown)))",0.52
2828,"Из какого региона сорт ""Melon de Bourgogne""?",ru,train,"# ::snt Из какого региона сорт ""Melon de Bourgogne""?
(b / be-from-91
      :ARG1 (s / species :name (n2 / name :op1 ""Melon"" :op2 ""de"" :op3 ""Bourgogne""))
      :ARG2 (r / region
            :mod (a / amr-unknown)))","# ::snt Из какой области сорт виноград Melon de Bourgogne?
(b / be-from-91
      :ARG1 (s / species :name (n2 / name :op1 ""Melon"" :op2 ""de"" :op3 ""Bourgogne""))
      :ARG2 (r / region
            :mod (a / amr-unknown)))",0.31
2829,Из какого региона Melon de Bourgogne?,ru,train,"# ::snt Из какого региона Melon de Bourgogne?
(b / be-from-91
      :ARG1 (s / species :name (n2 / name :op1 ""Melon"" :op2 ""de"" :op3 ""Bourgogne""))
      :ARG2 (r / region
            :mod (a / amr-unknown)))","# ::snt Из какого региона сорт ""Melon de Bourgogne""?
(b / be-from-91
      :ARG1 (s / species :name (n2 / name :op1 ""Melon"" :op2 ""de"" :op3 ""Bourgogne""))
      :ARG2 (r / region
            :mod (a / amr-unknown)))",0.24
2830,Где выращивают Мелон де Бургонь?,ru,train,"# ::snt Где выращивают Мелон де Бургонь?
(b / be-from-91
      :ARG1 (s / species :name (n2 / name :op1 ""Melon"" :op2 ""de"" :op3 ""Bourgogne""))
      :ARG2 (r / region
            :mod (a / amr-unknown)))","# ::snt Из какого региона Melon de Bourgogne?
(b / be-from-91
      :ARG1 (s / species :name (n2 / name :op1 ""Melon"" :op2 ""de"" :op3 ""Bourgogne""))
      :ARG2 (r / region
            :mod (a / amr-unknown)))",0.13
2831,Iš kokio regiono kilusi Melon de Bourgogne vynuogė?,lt,train,"# ::snt Iš kokio regiono kilusi Melon de Bourgogne vynuogė?
(b / be-from-91
      :ARG1 (s / species :name (n2 / name :op1 ""Melon"" :op2 ""de"" :op3 ""Bourgogne""))
      :ARG2 (r / region
            :mod (a / amr-unknown)))","# ::snt Где выращивают Мелон де Бургонь?
(b / be-from-91
      :ARG1 (s / species :name (n2 / name :op1 ""Melon"" :op2 ""de"" :op3 ""Bourgogne""))
      :ARG2 (r / region
            :mod (a / amr-unknown)))",0.13
2832,Iš kokios apskrities Melon de Bourgogne vynogių rūšis?,lt,train,"# ::snt Iš kokios apskrities Melon de Bourgogne vynogių rūšis?
(b / be-from-91
      :ARG1 (s / species :name (n2 / name :op1 ""Melon"" :op2 ""de"" :op3 ""Bourgogne""))
      :ARG2 (r / region
            :mod (a / amr-unknown)))","# ::snt З якога регiёну паходзiць гатунак вiнаграда Melon de Bourgogne?
(b / be-from-91
      :ARG1 (s / species :name (n2 / name :op1 ""Melon"" :op2 ""de"" :op3 ""Bourgogne""))
      :ARG2 (r / region
            :mod (a / amr-unknown)))",0.48
2833,З якога регiёну паходзiць гатунак вiнаграда Melon de Bourgogne?,be,train,"# ::snt З якога регiёну паходзiць гатунак вiнаграда Melon de Bourgogne?
(b / be-from-91
      :ARG1 (s / species :name (n2 / name :op1 ""Melon"" :op2 ""de"" :op3 ""Bourgogne""))
      :ARG2 (r / region
            :mod (a / amr-unknown)))","# ::snt Меур де бокргогре виноград сорты ниндэй олкэнэн? 
(b / be-from-91
      :ARG1 (s / species :name (n2 / name :op1 ""Melon"" :op2 ""de"" :op3 ""Bourgogne""))
      :ARG2 (r / region
            :mod (a / amr-unknown)))",0.12
2834,how big is the total area of North Rhine- Westphalia?,en,train,"# ::snt how big is the total area of North Rhine- Westphalia?
(b / big
      :degree (a3 / amr-unknown)
      :domain (a / area
            :ARG1-of (t / total-01)
            :poss (s / state :name (n / name :op1 ""North"" :op2 ""Rhine-Westphalia""))))","# ::snt how big is the total area of North Rhine- Westphalia?
(b / big
      :degree (a3 / amr-unknown)
      :domain (a / area
            :ARG1-of (t / total-01)
            :poss (s / state :name (n / name :op1 ""North"" :op2 ""Rhine-Westphalia""))))",0.59
2835,Тоньяк Рейн Вестфалия олкэхенен ботэ майщаны купме? ,ba,train,"# ::snt Тоньяк Рейн Вестфалия олкэхенен ботэ майщаны купме? 
(b / big
      :degree (a3 / amr-unknown)
      :domain (a / area
            :ARG1-of (t / total-01)
            :poss (s / state :name (n / name :op1 ""North"" :op2 ""Rhine-Westphalia""))))","# ::snt Wie groß ist die Fläche von Nordrhein Westpfalen?
(b / big
      :degree (a3 / amr-unknown)
      :domain (a / area
            :ARG1-of (t / total-01)
            :poss (s / state :name (n / name :op1 ""North"" :op2 ""Rhine-Westphalia""))))",0.29
2836,Wie groß ist die Fläche von Nordrhein Westpfalen?,de,train,"# ::snt Wie groß ist die Fläche von Nordrhein Westpfalen?
(b / big
      :degree (a3 / amr-unknown)
      :domain (a / area
            :ARG1-of (t / total-01)
            :poss (s / state :name (n / name :op1 ""North"" :op2 ""Rhine-Westphalia""))))","# ::snt Koks yra bendras Šiaurės Reino - Vestfalijos teritorijos plotis?
(b / big
      :degree (a3 / amr-unknown)
      :domain (a / area
            :ARG1-of (t / total-01)
            :poss (s / state :name (n / name :op1 ""North"" :op2 ""Rhine-Westphalia""))))",0.3
2837,Какова общая площадь области Северный Рейн - Вестфалия?,ru,train,"# ::snt Какова общая площадь области Северный Рейн - Вестфалия?
(b / big
      :degree (a3 / amr-unknown)
      :domain (a / area
            :ARG1-of (t / total-01)
            :poss (s / state :name (n / name :op1 ""North"" :op2 ""Rhine-Westphalia""))))","# ::snt Какова общая площадь области Северный Рейн - Вестфалия?
(b / big
      :degree (a3 / amr-unknown)
      :domain (a / area
            :ARG1-of (t / total-01)
            :poss (s / state :name (n / name :op1 ""North"" :op2 ""Rhine-Westphalia""))))",0.2
2838,Какова общая площадь земли Северный Рейн-Вестфалия?,ru,train,"# ::snt Какова общая площадь земли Северный Рейн-Вестфалия?
(b / big
      :degree (a3 / amr-unknown)
      :domain (a / area
            :ARG1-of (t / total-01)
            :poss (s / state :name (n / name :op1 ""North"" :op2 ""Rhine-Westphalia""))))","# ::snt Какова общая площадь земли Северный Рейн-Вестфалия?
(b / big
      :degree (a3 / amr-unknown)
      :domain (a / area
            :ARG1-of (t / total-01)
            :poss (s / state :name (n / name :op1 ""North"" :op2 ""Rhine-Westphalia""))))",0.33
2839,Какова площадь Северного Рейна-Вестфалии?,ru,train,"# ::snt Какова площадь Северного Рейна-Вестфалии?
(b / big
      :degree (a3 / amr-unknown)
      :domain (a / area
            :ARG1-of (t / total-01)
            :poss (s / state :name (n / name :op1 ""North"" :op2 ""Rhine-Westphalia""))))","# ::snt Какова площадь Северного Рейна-Вестфалии?
(b / big
      :degree (a3 / amr-unknown)
      :domain (a / area
            :ARG1-of (t / total-01)
            :poss (s / state :name (n / name :op1 ""North"" :op2 ""Rhine-Westphalia""))))",0.12
2840,Какова общая площадь Северного Рейна-Вестфалии?,ru,train,"# ::snt Какова общая площадь Северного Рейна-Вестфалии?
(b / big
      :degree (a3 / amr-unknown)
      :domain (a / area
            :ARG1-of (t / total-01)
            :poss (s / state :name (n / name :op1 ""North"" :op2 ""Rhine-Westphalia""))))","# ::snt Какова общая площадь Северного Рейна-Вестфалии?
(b / big
      :degree (a3 / amr-unknown)
      :domain (a / area
            :ARG1-of (t / total-01)
            :poss (s / state :name (n / name :op1 ""North"" :op2 ""Rhine-Westphalia""))))",0.33
2841,Яка загальна площа області Північний Рейн - Вестфалія?,uk,train,"# ::snt Яка загальна площа області Північний Рейн - Вестфалія?
(b / big
      :degree (a3 / amr-unknown)
      :domain (a / area
            :ARG1-of (t / total-01)
            :poss (s / state :name (n / name :op1 ""North"" :op2 ""Rhine-Westphalia""))))","# ::snt Яка загальна площа області Північний Рейн - Вестфалія?
(b / big
      :degree (a3 / amr-unknown)
      :domain (a / area
            :ARG1-of (t / total-01)
            :poss (s / state :name (n / name :op1 ""North"" :op2 ""Rhine-Westphalia""))))",0.27
2842,Яка загальна площа області Північний Рейн-Вестфалія?,uk,train,"# ::snt Яка загальна площа області Північний Рейн-Вестфалія?
(b / big
      :degree (a3 / amr-unknown)
      :domain (a / area
            :ARG1-of (t / total-01)
            :poss (s / state :name (n / name :op1 ""North"" :op2 ""Rhine-Westphalia""))))","# ::snt Яка загальна площа області Північний Рейн-Вестфалія?
(b / big
      :degree (a3 / amr-unknown)
      :domain (a / area
            :ARG1-of (t / total-01)
            :poss (s / state :name (n / name :op1 ""North"" :op2 ""Rhine-Westphalia""))))",0.29
2843,Koks yra bendras Šiaurės Reino - Vestfalijos teritorijos plotis?,lt,train,"# ::snt Koks yra bendras Šiaurės Reino - Vestfalijos teritorijos plotis?
(b / big
      :degree (a3 / amr-unknown)
      :domain (a / area
            :ARG1-of (t / total-01)
            :poss (s / state :name (n / name :op1 ""North"" :op2 ""Rhine-Westphalia""))))","# ::snt Колькi складае агульная плошча федэральнай зямлi Паўночны Рэйн-Вестфалія?
(b / big
      :degree (a3 / amr-unknown)
      :domain (a / area
            :ARG1-of (t / total-01)
            :poss (s / state :name (n / name :op1 ""North"" :op2 ""Rhine-Westphalia""))))",0.24
2844,Колькi складае агульная плошча федэральнай зямлi Паўночны Рэйн-Вестфалія?,be,train,"# ::snt Колькi складае агульная плошча федэральнай зямлi Паўночны Рэйн-Вестфалія?
(b / big
      :degree (a3 / amr-unknown)
      :domain (a / area
            :ARG1-of (t / total-01)
            :poss (s / state :name (n / name :op1 ""North"" :op2 ""Rhine-Westphalia""))))","# ::snt Тоньяк Рейн Вестфалия олкэхенен ботэ майщаны купме? 
(b / big
      :degree (a3 / amr-unknown)
      :domain (a / area
            :ARG1-of (t / total-01)
            :poss (s / state :name (n / name :op1 ""North"" :op2 ""Rhine-Westphalia""))))",0.11
2845,Which city has the most inhabitants?,en,train,"# ::snt Which city has the most inhabitants?
(h / have-03
      :ARG0 (c / city
            :mod (a / amr-unknown))
      :ARG1 (p / person
            :ARG0-of (i2 / inhabit-01
                  :ARG1 c)
            :ARG1-of (h2 / have-quant-91
                  :ARG3 (m / most))))","# ::snt Which city has the most inhabitants?
(h / have-03
      :ARG0 (c / city
            :mod (a / amr-unknown))
      :ARG1 (p / person
            :ARG0-of (i2 / inhabit-01
                  :ARG1 c)
            :ARG1-of (h2 / have-quant-91
                  :ARG3 (m / most))))",0.43
2846,Ин куп халыклы ниндэй кала? ,ba,train,"# ::snt Ин куп халыклы ниндэй кала? 
(h / have-03
      :ARG0 (c / city
            :mod (a / amr-unknown))
      :ARG1 (p / person
            :ARG0-of (i2 / inhabit-01
                  :ARG1 c)
            :ARG1-of (h2 / have-quant-91
                  :ARG3 (m / most))))","# ::snt Welche Stadt hat die meisten Einwohner?
(h / have-03
      :ARG0 (c / city
            :mod (a / amr-unknown))
      :ARG1 (p / person
            :ARG0-of (i2 / inhabit-01
                  :ARG1 c)
            :ARG1-of (h2 / have-quant-91
                  :ARG3 (m / most))))",0.12
2847,Welche Stadt hat die meisten Einwohner?,de,train,"# ::snt Welche Stadt hat die meisten Einwohner?
(h / have-03
      :ARG0 (c / city
            :mod (a / amr-unknown))
      :ARG1 (p / person
            :ARG0-of (i2 / inhabit-01
                  :ARG1 c)
            :ARG1-of (h2 / have-quant-91
                  :ARG3 (m / most))))","# ::snt Koks yra daugiausiai gyventojų turintis miestas?
(h / have-03
      :ARG0 (c / city
            :mod (a / amr-unknown))
      :ARG1 (p / person
            :ARG0-of (i2 / inhabit-01
                  :ARG1 c)
            :ARG1-of (h2 / have-quant-91
                  :ARG3 (m / most))))",0.31
2848,Какой город самый многонаселенный?,ru,train,"# ::snt Какой город самый многонаселенный?
(h / have-03
      :ARG0 (c / city
            :mod (a / amr-unknown))
      :ARG1 (p / person
            :ARG0-of (i2 / inhabit-01
                  :ARG1 c)
            :ARG1-of (h2 / have-quant-91
                  :ARG3 (m / most))))","# ::snt Kuris miestas turi daugiausiai gyventojų?
(h / have-03
      :ARG0 (c / city
            :mod (a / amr-unknown))
      :ARG1 (p / person
            :ARG0-of (i2 / inhabit-01
                  :ARG1 c)
            :ARG1-of (h2 / have-quant-91
                  :ARG3 (m / most))))",0.1
2849,В каком городе наибольшее количество жителей?,ru,train,"# ::snt В каком городе наибольшее количество жителей?
(h / have-03
      :ARG0 (c / city
            :mod (a / amr-unknown))
      :ARG1 (p / person
            :ARG0-of (i2 / inhabit-01
                  :ARG1 c)
            :ARG1-of (h2 / have-quant-91
                  :ARG3 (m / most))))","# ::snt Какой город самый многонаселенный?
(h / have-03
      :ARG0 (c / city
            :mod (a / amr-unknown))
      :ARG1 (p / person
            :ARG0-of (i2 / inhabit-01
                  :ARG1 c)
            :ARG1-of (h2 / have-quant-91
                  :ARG3 (m / most))))",0.21
2850,В каком городе больше всего жителей?,ru,train,"# ::snt В каком городе больше всего жителей?
(h / have-03
      :ARG0 (c / city
            :mod (a / amr-unknown))
      :ARG1 (p / person
            :ARG0-of (i2 / inhabit-01
                  :ARG1 c)
            :ARG1-of (h2 / have-quant-91
                  :ARG3 (m / most))))","# ::snt В каком городе наибольшее количество жителей?
(h / have-03
      :ARG0 (c / city
            :mod (a / amr-unknown))
      :ARG1 (p / person
            :ARG0-of (i2 / inhabit-01
                  :ARG1 c)
            :ARG1-of (h2 / have-quant-91
                  :ARG3 (m / most))))",0.21
2851,В каком городе живет больше всего людей?,ru,train,"# ::snt В каком городе живет больше всего людей?
(h / have-03
      :ARG0 (c / city
            :mod (a / amr-unknown))
      :ARG1 (p / person
            :ARG0-of (i2 / inhabit-01
                  :ARG1 c)
            :ARG1-of (h2 / have-quant-91
                  :ARG3 (m / most))))","# ::snt В каком городе больше всего жителей?
(h / have-03
      :ARG0 (c / city
            :mod (a / amr-unknown))
      :ARG1 (p / person
            :ARG0-of (i2 / inhabit-01
                  :ARG1 c)
            :ARG1-of (h2 / have-quant-91
                  :ARG3 (m / most))))",0.21
2852,Яке місто саме багатонаселене?,uk,train,"# ::snt Яке місто саме багатонаселене?
(h / have-03
      :ARG0 (c / city
            :mod (a / amr-unknown))
      :ARG1 (p / person
            :ARG0-of (i2 / inhabit-01
                  :ARG1 c)
            :ARG1-of (h2 / have-quant-91
                  :ARG3 (m / most))))","# ::snt В каком городе живет больше всего людей?
(h / have-03
      :ARG0 (c / city
            :mod (a / amr-unknown))
      :ARG1 (p / person
            :ARG0-of (i2 / inhabit-01
                  :ARG1 c)
            :ARG1-of (h2 / have-quant-91
                  :ARG3 (m / most))))",0.2
2853,Koks yra daugiausiai gyventojų turintis miestas?,lt,train,"# ::snt Koks yra daugiausiai gyventojų turintis miestas?
(h / have-03
      :ARG0 (c / city
            :mod (a / amr-unknown))
      :ARG1 (p / person
            :ARG0-of (i2 / inhabit-01
                  :ARG1 c)
            :ARG1-of (h2 / have-quant-91
                  :ARG3 (m / most))))","# ::snt Яке місто саме багатонаселене?
(h / have-03
      :ARG0 (c / city
            :mod (a / amr-unknown))
      :ARG1 (p / person
            :ARG0-of (i2 / inhabit-01
                  :ARG1 c)
            :ARG1-of (h2 / have-quant-91
                  :ARG3 (m / most))))",0.21
2854,Kuris miestas turi daugiausiai gyventojų?,lt,train,"# ::snt Kuris miestas turi daugiausiai gyventojų?
(h / have-03
      :ARG0 (c / city
            :mod (a / amr-unknown))
      :ARG1 (p / person
            :ARG0-of (i2 / inhabit-01
                  :ARG1 c)
            :ARG1-of (h2 / have-quant-91
                  :ARG3 (m / most))))","# ::snt Якi горад мае найбольшую колькасць жыхароў?
(h / have-03
      :ARG0 (c / city
            :mod (a / amr-unknown))
      :ARG1 (p / person
            :ARG0-of (i2 / inhabit-01
                  :ARG1 c)
            :ARG1-of (h2 / have-quant-91
                  :ARG3 (m / most))))",0.11
2855,Якi горад мае найбольшую колькасць жыхароў?,be,train,"# ::snt Якi горад мае найбольшую колькасць жыхароў?
(h / have-03
      :ARG0 (c / city
            :mod (a / amr-unknown))
      :ARG1 (p / person
            :ARG0-of (i2 / inhabit-01
                  :ARG1 c)
            :ARG1-of (h2 / have-quant-91
                  :ARG3 (m / most))))","# ::snt Ин куп халыклы ниндэй кала? 
(h / have-03
      :ARG0 (c / city
            :mod (a / amr-unknown))
      :ARG1 (p / person
            :ARG0-of (i2 / inhabit-01
                  :ARG1 c)
            :ARG1-of (h2 / have-quant-91
                  :ARG3 (m / most))))",0.2
2856,What is Donald Trump's main business?,en,train,"# ::snt What is Donald Trump's main business?
(b / business
      :mod (m / main)
      :poss (p / person :name (n / name :op1 ""Donald"" :op2 ""Trump""))
      :domain (a / amr-unknown))","# ::snt What is Donald Trump's main business?
(b / business
      :mod (m / main)
      :poss (p / person :name (n / name :op1 ""Donald"" :op2 ""Trump""))
      :domain (a / amr-unknown))",0.96
2857,Дональд Трамп осон ин кэркэле бизнес булып кайхы хы тора? ,ba,train,"# ::snt Дональд Трамп осон ин кэркэле бизнес булып кайхы хы тора? 
(b / business
      :mod (m / main)
      :poss (p / person :name (n / name :op1 ""Donald"" :op2 ""Trump""))
      :domain (a / amr-unknown))","# ::snt Was ist Donald Trumps Hauptgeschäftsfeld?
(b / business
      :mod (m / main)
      :poss (p / person :name (n / name :op1 ""Donald"" :op2 ""Trump""))
      :domain (a / amr-unknown))",0.21
2858,Was ist Donald Trumps Hauptgeschäftsfeld?,de,train,"# ::snt Was ist Donald Trumps Hauptgeschäftsfeld?
(b / business
      :mod (m / main)
      :poss (p / person :name (n / name :op1 ""Donald"" :op2 ""Trump""))
      :domain (a / amr-unknown))","# ::snt Kokia Donaldo Trampo verslo kryptis yra pagrindinė?
(b / business
      :mod (m / main)
      :poss (p / person :name (n / name :op1 ""Donald"" :op2 ""Trump""))
      :domain (a / amr-unknown))",0.45
2859,Какое направление бизнеса является главным для Дональда Трампа?,ru,train,"# ::snt Какое направление бизнеса является главным для Дональда Трампа?
(b / business
      :mod (m / main)
      :poss (p / person :name (n / name :op1 ""Donald"" :op2 ""Trump""))
      :domain (a / amr-unknown))","# ::snt Какое направление бизнеса является главным для Дональда Трампа?
(b / business
      :mod (m / main)
      :poss (p / person :name (n / name :op1 ""Donald"" :op2 ""Trump""))
      :domain (a / amr-unknown))",0.14
2860,Основной бизнес Дональда Трампа?,ru,train,"# ::snt Основной бизнес Дональда Трампа?
(b / business
      :mod (m / main)
      :poss (p / person :name (n / name :op1 ""Donald"" :op2 ""Trump""))
      :domain (a / amr-unknown))","# ::snt Основной бизнес Дональда Трампа?
(b / business
      :mod (m / main)
      :poss (p / person :name (n / name :op1 ""Donald"" :op2 ""Trump""))
      :domain (a / amr-unknown))",0.25
2861,Какой основной бизнес Дональда Трампа?,ru,train,"# ::snt Какой основной бизнес Дональда Трампа?
(b / business
      :mod (m / main)
      :poss (p / person :name (n / name :op1 ""Donald"" :op2 ""Trump""))
      :domain (a / amr-unknown))","# ::snt Какой основной бизнес Дональда Трампа?
(b / business
      :mod (m / main)
      :poss (p / person :name (n / name :op1 ""Donald"" :op2 ""Trump""))
      :domain (a / amr-unknown))",0.24
2862,Каково основное занятие Дональда Трампа?,ru,train,"# ::snt Каково основное занятие Дональда Трампа?
(b / business
      :mod (m / main)
      :poss (p / person :name (n / name :op1 ""Donald"" :op2 ""Trump""))
      :domain (a / amr-unknown))","# ::snt Каково основное занятие Дональда Трампа?
(b / business
      :mod (m / main)
      :poss (p / person :name (n / name :op1 ""Donald"" :op2 ""Trump""))
      :domain (a / amr-unknown))",0.13
2863,Який напрямок бізнесу є головним для Дональда Трампа?,uk,train,"# ::snt Який напрямок бізнесу є головним для Дональда Трампа?
(b / business
      :mod (m / main)
      :poss (p / person :name (n / name :op1 ""Donald"" :op2 ""Trump""))
      :domain (a / amr-unknown))","# ::snt Який напрямок бізнесу є головним для Дональда Трампа?
(b / business
      :mod (m / main)
      :poss (p / person :name (n / name :op1 ""Donald"" :op2 ""Trump""))
      :domain (a / amr-unknown))",0.21
2864,Kokia Donaldo Trampo verslo kryptis yra pagrindinė?,lt,train,"# ::snt Kokia Donaldo Trampo verslo kryptis yra pagrindinė?
(b / business
      :mod (m / main)
      :poss (p / person :name (n / name :op1 ""Donald"" :op2 ""Trump""))
      :domain (a / amr-unknown))","# ::snt Што з'яўляецца галоўным бiзнэсам Дональда Трампа?
(b / business
      :mod (m / main)
      :poss (p / person :name (n / name :op1 ""Donald"" :op2 ""Trump""))
      :domain (a / amr-unknown))",0.31
2865,Што з'яўляецца галоўным бiзнэсам Дональда Трампа?,be,train,"# ::snt Што з'яўляецца галоўным бiзнэсам Дональда Трампа?
(b / business
      :mod (m / main)
      :poss (p / person :name (n / name :op1 ""Donald"" :op2 ""Trump""))
      :domain (a / amr-unknown))","# ::snt Дональд Трамп осон ин кэркэле бизнес булып кайхы хы тора? 
(b / business
      :mod (m / main)
      :poss (p / person :name (n / name :op1 ""Donald"" :op2 ""Trump""))
      :domain (a / amr-unknown))",0.13
2866,When will start the final match of the football world cup 2018?,en,train,"# ::snt When will start the final match of the football world cup 2018?
(s / start-01
      :ARG1 (m / match-03
            :ARG3 (f2 / football)
            :time (f / final)
            :subevent-of (g / game :name (n / name :op1 ""world"" :op2 ""cup"" :op3 ""2018"")))
      :time (a / amr-unknown))","# ::snt When will start the final match of the football world cup 2018?
(s / start-01
      :ARG1 (m / match-03
            :ARG3 (f2 / football)
            :time (f / final)
            :subevent-of (g / game :name (n / name :op1 ""world"" :op2 ""cup"" :op3 ""2018"")))
      :time (a / amr-unknown))",0.76
2867,Wann ist das Finale der Fußballweltmeisterschaft 2018?,de,train,"# ::snt Wann ist das Finale der Fußballweltmeisterschaft 2018?
(s / start-01
      :ARG1 (m / match-03
            :ARG3 (f2 / football)
            :time (f / final)
            :subevent-of (g / game :name (n / name :op1 ""world"" :op2 ""cup"" :op3 ""2018"")))
      :time (a / amr-unknown))","# ::snt Wann ist das Finale der Fußballweltmeisterschaft 2018?
(s / start-01
      :ARG1 (m / match-03
            :ARG3 (f2 / football)
            :time (f / final)
            :subevent-of (g / game :name (n / name :op1 ""world"" :op2 ""cup"" :op3 ""2018"")))
      :time (a / amr-unknown))",0.38
